"","Year","Month","Day","Open","High","Low","Close","AdjClose","Volume","TRain"
"77","2019","04","23",26513.830078,26695.960938,26503.560547,26656.390625,26656.390625,311690000,3130
"78","2019","04","24",26652.560547,26680.580078,26582.859375,26597.050781,26597.050781,283370000,4125
"79","2019","04","25",26426.369141,26536.480469,26310.279297,26462.080078,26462.080078,296730000,3184
"80","2019","04","26",26454.619141,26543.560547,26392.550781,26543.330078,26543.330078,317290000,1434
"81","2019","04","29",26559.869141,26602.539063,26520.75,26554.390625,26554.390625,279450000,2242
"82","2019","04","30",26594.560547,26614.039063,26419.470703,26592.910156,26592.910156,340320000,5955
"83","2019","05","01",26639.060547,26689.390625,26426.380859,26430.140625,26430.140625,303850000,4162
"84","2019","05","02",26407.150391,26454.689453,26180.359375,26307.789063,26307.789063,287610000,6442
"85","2019","05","03",26379.140625,26534.960938,26370.089844,26504.949219,26504.949219,248900000,3410
"86","2019","05","06",26160.619141,26476.269531,26033.949219,26438.480469,26438.480469,283020000,2382
"87","2019","05","07",26276.900391,26276.900391,25789.710938,25965.089844,25965.089844,334960000,3055
"88","2019","05","08",25933.789063,26118.099609,25889.410156,25967.330078,25967.330078,276420000,7959
"89","2019","05","09",25878.849609,25884.890625,25517.390625,25828.359375,25828.359375,334760000,5623
"90","2019","05","10",25763.720703,26019.320313,25469.859375,25942.369141,25942.369141,294580000,4807
"91","2019","05","13",25568.060547,25568.060547,25222.509766,25324.990234,25324.990234,361240000,3846
"92","2019","05","14",25384.029297,25688.960938,25384.029297,25532.050781,25532.050781,291570000,581
"93","2019","05","15",25400.130859,25724.890625,25341.939453,25648.019531,25648.019531,270720000,1643
"94","2019","05","16",25692.140625,25957.630859,25692.140625,25862.679688,25862.679688,320960000,3279
"95","2019","05","17",25719.949219,25948.740234,25657.779297,25764,25764,283760000,1192
"96","2019","05","20",25655.310547,25751.710938,25560.550781,25679.900391,25679.900391,279560000,3754
"97","2019","05","21",25782.339844,25898.269531,25779.609375,25877.330078,25877.330078,260870000,5819
"98","2019","05","22",25818.460938,25878.210938,25755.109375,25776.609375,25776.609375,241760000,1966
"99","2019","05","23",25657.990234,25657.990234,25328.089844,25490.470703,25490.470703,316940000,1385
"100","2019","05","24",25551.070313,25670.810547,25496.199219,25585.689453,25585.689453,201370000,1260
"101","2019","05","28",25616.550781,25717.630859,25342.279297,25347.769531,25347.769531,358980000,2565
"102","2019","05","29",25231.460938,25231.460938,24938.240234,25126.410156,25126.410156,298930000,5341
"103","2019","05","30",25139.939453,25218.539063,25066.75,25169.880859,25169.880859,215240000,1738
"104","2019","05","31",25046.310547,25046.310547,24809.509766,24815.039063,24815.039063,292230000,1467
"105","2019","06","03",24830.160156,24935.210938,24680.570313,24819.779297,24819.779297,328240000,66
"106","2019","06","04",24962.820313,25343.769531,24962.820313,25332.179688,25332.179688,281690000,358
"107","2019","06","05",25451,25544.660156,25373.580078,25539.570313,25539.570313,262660000,457
"108","2019","06","06",25567.449219,25800.300781,25518.050781,25720.660156,25720.660156,248070000,214
"109","2019","06","07",25768.720703,26072.75,25768.720703,25983.939453,25983.939453,263010000,418
"110","2019","06","10",26090.220703,26210.609375,26054.310547,26062.679688,26062.679688,249280000,166
"111","2019","06","11",26180.589844,26248.669922,25998.869141,26048.509766,26048.509766,253490000,433
"112","2019","06","12",26040.300781,26082.099609,25958.660156,26004.830078,26004.830078,223690000,51
"113","2019","06","13",26036.939453,26146.910156,25995.710938,26106.769531,26106.769531,213400000,376
"114","2019","06","14",26076.359375,26162.279297,25988.089844,26089.609375,26089.609375,208020000,102
"115","2019","06","17",26108.529297,26165.779297,26049.800781,26112.529297,26112.529297,199500000,397
"116","2019","06","18",26228.880859,26527.189453,26227.759766,26465.539063,26465.539063,273490000,353
"117","2019","06","19",26490.160156,26569.75,26415.050781,26504,26504,240950000,494
"118","2019","06","20",26665.380859,26798.630859,26539.689453,26753.169922,26753.169922,278170000,646
"119","2019","06","21",26749.119141,26907.369141,26705.869141,26719.130859,26719.130859,485560000,720
"120","2019","06","24",26727.609375,26806.519531,26723.369141,26727.539063,26727.539063,232390000,1037
"121","2019","06","25",26731.609375,26752.310547,26527.660156,26548.220703,26548.220703,282160000,653
"122","2019","06","26",26599.419922,26660.039063,26536.330078,26536.820313,26536.820313,274340000,263
"123","2019","06","27",26523.720703,26607.240234,26465.320313,26526.580078,26526.580078,246930000,68
"124","2019","06","28",26605.929688,26638.349609,26522.269531,26599.960938,26599.960938,499350000,95
"125","2019","07","01",26805.859375,26890.640625,26616.210938,26717.429688,26717.429688,267670000,1212
"126","2019","07","02",26719.529297,26787.560547,26632.650391,26786.679688,26786.679688,219270000,2913
"127","2019","07","03",26832.320313,26966,26831.439453,26966,26966,149840000,1832
"128","2019","07","05",26867.75,26950.810547,26733.330078,26922.119141,26922.119141,192170000,1939
"129","2019","07","08",26835.640625,26839.140625,26744.869141,26806.140625,26806.140625,214290000,4241
"130","2019","07","09",26725.119141,26807.699219,26665.570313,26783.490234,26783.490234,218330000,3983
"131","2019","07","10",26851.960938,26983.449219,26813.109375,26860.199219,26860.199219,207990000,2135
